Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
GTR Evolution	8660	Racing	Racing, Simulation, Driving, Multiplayer, Singleplayer	239	74.9	0.02	1	0	NA	NA	NA	NA	NA	NA	2014-10-26	SimBin	SimBin	01-Sep-2008	NA	                     Supported OS: Microsoft Windows XP Home\/Pro, Windows Vista*                      Processor: 2.4 GHz Intel Pentium 4 or 100% compatible                     Memory: 1 GB RAM                     Graphics: 3D Accelerator DirectX 9 compatible graphics card with 256MB memory                                         DirectX Version: DirectX 9                                         Sound: DirectX 9 compatible                      Hard Drive: 3.7 GB free space                     Peripherals:  Input Keyboard and Mouse                                                             *Limited support 	                     Supported OS: Microsoft Windows XP Home\/Pro, Windows Vista*                      Processor: 3 GHz Intel Pentium IV or 100% compatible                     Memory: 2 GB RAM                     Graphics: 3D Accelerator DirectX 9 compatible graphics card with 512MB memory                                         DirectX Version: DirectX 9                                         Sound: DirectX 9 compatible                      Hard Drive: 4.7 GB free space                     Peripherals:  Input DirectX 9 compatible Force Feedback steering wheel                                                             *Limited support
Tomb Raider II	225300	Action, Adventure	Adventure, Action, Female Protagonist, Classic, Singleplayer, Third Person, Puzzle, Action-Adventure, Platformer, Old School, 1990's, Third-Person Shooter, Shooter, Atmospheric, 3D Platformer, Retro, Puzzle-Platformer, Exploration, Difficult, Story Rich	2306	86.9	0.02	16	21	NA	NA	NA	NA	NA	NA	2016-08-23	Core Design	Crystal Dynamics	28-Nov-2012	NA	OS *:Windows XP \/ Windows Vista \/ Windows 7 Processor:1.8 GHz Processor Memory:512 MB RAM Graphics:3D graphics card compatible with DirectX 9 DirectX®:9.0 Hard Drive:2 GB HD space	NA
Warspear Online	326360	Massively Multiplayer, RPG, Free To Play	MMORPG, Free to Play, Pixel Graphics, Massively Multiplayer, RPG, Multiplayer, Online Co-Op, Fantasy, Retro, PvP, 2D, Difficult, Atmospheric, Open World, Adventure, Story Rich, Strategy	2835	72.9	0.02	No time registered yet	No time registered yet	41	11.01 ± 15.84	0	0	NA	NA	2017-11-08	Titulum Enterprises Limited	Titulum Enterprises Limited	02-Nov-2017	NA	OS *: Windows XP SP3Processor: 1 GHzMemory: 512 MB RAMGraphics: OpenGL 1.3-compatible; 128 Mb video memoryStorage: 100 MB available spaceSound Card: OpenAL-compatibleAdditional Notes: You may need to update your graphics drivers for OpenGL 1.3 support. 	OS *: Windows XP\/7\/8\/10\/11Processor: 1.4 GHzMemory: 2 GB RAMGraphics: OpenGL 3.0-compatible; 256 Mb video memoryNetwork: Broadband Internet connectionStorage: 200 MB available spaceSound Card: OpenAL-compatibleAdditional Notes: You may need to update your graphics drivers for OpenGL 3.0 support.
Toy Story 3	300820	Action, Adventure	Family Friendly, Adventure, Action, Shooter, Cartoony, Story Rich, Local Co-Op, Difficult, Open World, Singleplayer, Great Soundtrack, 3D Platformer, Sandbox, Atmospheric, Co-op, Split Screen, Third-Person Shooter, Dark, Funny, Strategy	1745	71.4	0.02	4	17	NA	NA	NA	NA	NA	NA	2017-05-18	Avalanche Software	Disney	06-Oct-2014	NA	OS *: Microsoft Windows Vista SP2\/ XP SP3\/ Windows 7 Home PremiumProcessor: Intel Pentium 4 2.4 GHz, AMD 3000+ or equivalent processor, or Intel Core  2 1.8 GHZMemory: 1 GB RAMGraphics: 128 MB DirectX 9.0c-compatible, 3D video card supporting Shaders 2.0 (NVIDIA GeForce • FX 5600 or better, ATI Radeon 9600 or better)Storage: 6 GB available space	NA
Into The War	346370	Action, Indie	Indie, Action, FPS, Free to Play, Shooter, Multiplayer, Parkour	469	22.4	0.02	No time registered yet	No time registered yet	1	89.2 ± NA	89.2	100	2025-02-19	2025-02-19	2025-02-19	Small Town Studios	Small Town Studios	02-Dec-2015	X	OS *: Windows 7 64-Bit \/ Windows 8 64-Bit \/ Windows 8.1 64-BitProcessor: Intel® Core™ i3-530 @ 2.93 GHz \/ AMD Phenom™ II X4 810 @ 2.60 GHzMemory: 2 GB RAMGraphics: NVIDIA® GeForce® GTS 450 @ 1GB \/ ATI® Radeon™ HD 5870 @ 1GBDirectX: Version 9.0Network: Broadband Internet connectionStorage: 1 GB available spaceSound Card: DirectX Compatible 	OS *: Windows 7 64-Bit \/ Windows 8 64-Bit \/ Windows 8.1 64-BitProcessor: Intel Core i5-2500K @ 3.30GHzMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 760 @ 4GBDirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: 100% DirectX 9.0c Compatible 16-bit
Don't Starve Together	322330	Action, Adventure, Indie, RPG, Simulation, Strategy	Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Atmospheric, Funny, Survival Horror, Strategy, Horror, Singleplayer, Action, Rogue-like	499061	95.3	0.02	35	212	NA	NA	NA	NA	NA	NA	2019-05-25	Klei Entertainment	Klei Entertainment	21-Apr-2016	NA	OS *: Windows Vista\/Windows 7\/Windows 8Processor: 1.7+ GHz or betterMemory: 1 GB RAMGraphics: Radeon HD5450 or better; 256 MB or higherDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 3 GB available spaceSound Card: 100% DirectX9.0c compatible sound card and drivers	NA
Brawlhalla	291550	Action, Indie, Free To Play	Free to Play, Multiplayer, Fighting, 2D Fighter, 2D Platformer, Casual, Local Multiplayer, Co-op, Controller, Platformer, Action, Online Co-Op, Local Co-Op, Fantasy, 4 Player Local, Family Friendly, e-sports, Cartoony, Singleplayer, Indie	386456	81.5	0.02	49	315	65	8.38 ± 10.41	0	0	NA	NA	2017-04-16	Blue Mammoth Games	Ubisoft	17-Oct-2017	NA	Memory: 2 GB RAMStorage: 800 MB available space 	Memory: 4 GB RAMNetwork: Broadband Internet connectionStorage: 2 GB available space
New York Taxi Simulator	446470	Simulation	Simulation	66	25.8	0.02	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	NA	2019-04-05	Little Freedom Factory	United Independent Entertainment	04-Mar-2016	NA	OS *: Windows XP SP2 \/ Vista \/ 7 \/ 8 \/ 10Processor: 1,5 GHz Pentium 4, AMD Athlon 1500+ or betterMemory: 512 MB RAMGraphics: Nvidia GeForce FX 5600, AMD 9500, Intel GMA 950 or betterDirectX: Version 9.0cStorage: 400 MB available spaceSound Card: DirectX compatible soundcard 	OS *: Windows XP SP2 \/ Vista \/ 7 \/ 8 \/ 10Processor: Intel Core 2, AMD Athlon 3000+ or betterMemory: 1 GB RAMGraphics: Nvidia GeForce GTX260, AMD HD4000 or betterDirectX: Version 9.0cStorage: 400 MB available spaceSound Card: DirectX compatible soundcard
FaeVerse Alchemy	282880	Casual, Indie, Strategy	Casual, Indie, Strategy, Puzzle, Match 3, Free to Play, Early Access	360	67.5	0.02	10	26	39	2.82 ± 3.04	0.6	0	NA	NA	2016-05-23	Subsoap	Subsoap	11-Sep-2024	NA	OS: Windows 10Processor: 800 MhzMemory: 1 GB RAMGraphics: 256MBStorage: 150 MB available spaceAdditional Notes: Windows 8 works but is not yet fully supported.	NA
The Hex	510420	Indie	Indie, Singleplayer, Story Rich, Mystery, Psychological Horror, Pixel Graphics, Dark, Funny, Great Soundtrack, 2D, RPG, Puzzle, Multiple Endings, Memes, Adventure, Replay Value, Platformer, Choices Matter, Horror, Atmospheric	4957	94.2	0.02	5	12	28	23.49 ± 21.71	5.8	0	NA	NA	2023-03-13	Daniel Mullins Games	Daniel Mullins Games	16-Oct-2018	NA	OS *: Windows XPMemory: 2 GB RAMDirectX: Version 9.0Storage: 1 GB available space 	OS *: Windows Vista \/ 7 \/ 8 \/ 10Memory: 4 GB RAMDirectX: Version 9.0Storage: 1 GB available space
Just Hero	527760	Casual, Indie	Indie, Casual, Platformer	347	51	0.02	0	1	7	3.34 ± 0.6	3	0	NA	NA	2020-05-25	Anatoliy Loginovskikh	Sometimes You	28-Sep-2016	NA	OS *: Windows XP\\Vista\\7\\8\\10Processor: 1.2 Ghz+Memory: 1024 MB RAMGraphics: 256 MBStorage: 20 MB available space 	OS *: Windows XP\\Vista\\7\\8\\10Processor: 2 GhzMemory: 2048 MB RAMGraphics: 1 GBStorage: 20 MB available space
Domina	535230	Action, Indie, Simulation, Strategy	Management, Pixel Graphics, Strategy, Violent, Rome, Simulation, Great Soundtrack, Action, Indie, Gore, Singleplayer, 2D, Historical, Female Protagonist, Auto Battler, RPG, Sexual Content, Atmospheric, Fighting, Tactical	12224	66.1	0.02	4	17	34	36.62 ± 23.97	3.2	0	NA	NA	2022-09-17	Dolphin Barn Incorporated	Dolphin Barn Incorporated	NA	X	NA	NA
Professor Watts: Memory Match	679530	Casual, Indie, Strategy	Indie, Casual, Strategy, Puzzle, Family Friendly, Singleplayer, 2D, Relaxing, Choices Matter	80	52.5	0.02	No time registered yet	No time registered yet	5000	88.6 ± 0.16	88.2	100	2025-02-14	2025-02-14	2025-02-14	Ripknot Systems	Ripknot Systems	27-Jul-2017	NA	OS *: Win 7 +Processor: Intel Core i5 +Memory: 1 GB RAMGraphics: Nvidia 1GB VRAMDirectX: Version 9.0Storage: 100 MB available space	NA
Trivia Vault: Mixed Trivia	686550	Action, Casual, Indie, Simulation, Strategy	Casual, Indie, Simulation, Strategy, Action, Trivia, Text-Based, Word Game, Family Friendly, Replay Value, Singleplayer, 2D, Relaxing, Logic, Choices Matter, Puzzle, Story Rich, Point & Click	105	54.3	0.02	No time registered yet	No time registered yet	5000	92.98 ± 0.16	92.5	100	2020-05-25	2020-05-25	2020-05-25	Ripknot Systems	Ripknot Systems	11-Aug-2017	NA	OS *: Win 7 32-bit or higherProcessor: 2,0 ghz or higherMemory: 500 MB RAMGraphics: 500 Megs VRAMDirectX: Version 9.0Storage: 200 MB available space	NA
Trivia Vault: Super Heroes Trivia	687490	Casual, Indie, Simulation, Strategy	Casual, Indie, Strategy, Simulation, Trivia, Singleplayer, Relaxing, Puzzle, Retro, Family Friendly, Text-Based, Superhero, Comic Book, Story Rich, Choices Matter	142	54.2	0.02	0	1	5000	91.87 ± 0.13	91.4	100	2024-06-09	2024-06-09	2024-06-09	Ripknot Systems	Ripknot Systems	15-Aug-2017	NA	OS *: Win 7 32-bit or higherProcessor: 2.0 ghz or higherMemory: 500 MB RAMGraphics: 500 Megs VRAMDirectX: Version 9.0Storage: 200 MB available space	NA
Hentai 3018	860910	Action, Casual, Indie	Indie, Casual, Action, Hentai, Sexual Content, Nudity, Psychological Horror, NSFW	1093	77	0.02	0	2	3445	15.09 ± 0.61	14.1	0	NA	NA	2019-05-26	Easy game	Game for people	31-May-2018	NA	OS *: Windows xp sp3Processor: Pentium® 4 1.5 GHz \/ Athlon® XPMemory: 512 MB RAMGraphics: GeForce 210 590MhzStorage: 100 MB available space 	OS *: Windows 7Processor: Pentium® 4 1.5 GHz \/ Athlon® XPMemory: 512 MB RAMGraphics: GeForce 210 590MhzStorage: 1000 MB available space
Girlfriend Experience VR	922800	Casual, Indie, Simulation	NA	0	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	2018-09-26	Night Bushayers	Night Bushayers	25-Sep-2018	NA	OS *: Windows 7Processor: Intel i5-4590Memory: 4 GB RAMGraphics: nVidia GTX 970 \/ AMD R9 290DirectX: Version 10Storage: 900 MB available spaceVR Support: SteamVR	NA
Hentai Secrets	982150	Adventure, Casual, Indie, RPG, Simulation	Sexual Content, Nudity, Casual, Mature, Simulation, RPG, Indie, Adventure, Puzzle, Relaxing, Anime	199	92.5	0.02	0	2	69	90.46 ± 4.67	83.7	0	NA	NA	2019-05-25	kraken666	kraken666	31-Jan-2019	X	OS *: Windows 7+	NA
PICO PARK:Classic Edition	461040	Action, Casual, Indie	Multiplayer, Local Co-Op, Free to Play, Casual, Online Co-Op, Indie, Action, Co-op, Local Multiplayer, Psychological Horror, Pixel Graphics, Puzzle, Cute, Puzzle-Platformer, Controller, Adventure	1513	72.4	0.02	1	2	NA	NA	NA	NA	NA	NA	2022-12-25	TECOPARK	TECOPARK	27-Apr-2016	NA	OS *: Microsoft® Windows® XP \/ Vista \/ 7 \/ 8 \/ 8.1Processor: Dual Core 1.6GHz or equivalentMemory: 1 GB RAMDirectX: Version 9.0cStorage: 100 MB available space 	OS *: Microsoft® Windows® 8.1Processor: Dual Core 1.6GHz or equivalentMemory: 1 GB RAMDirectX: Version 9.0cStorage: 100 MB available space
Nyheim	572300	Strategy	Strategy, Survival, Board Game, Singleplayer, Difficult, Rogue-lite	80	66.2	0.02	3	0	12	7.65 ± 1.73	6.5	0	NA	NA	2022-01-11	Happy Hobgoblin	Happy Hobgoblin	31-Jan-2017	X	OS *: Windows 7Memory: 4 GB RAMGraphics: DX9 (shader model 3.0)DirectX: Version 9.0cStorage: 300 MB available space 	OS: Windows 10Memory: 4 GB RAMGraphics: DX9 (shader model 3.0)DirectX: Version 9.0cStorage: 300 MB available space
Day of Defeat: Source	300	Action	FPS, World War II, Multiplayer, Action, Shooter, Military, War, Team-Based, First-Person, Historical, Class-Based, Classic, Tactical, Realistic, Online Co-Op, Gore, Strategy, Massively Multiplayer, Simulation, Violent	22689	91.7	0	3	10	54	6.77 ± 4.67	2.6	0	NA	NA	NA	Valve	Valve	12-Jul-2010	NA	 1.7 GHz Processor, 512MB RAM, DirectX&reg; 8.1 level Graphics Card (Requires support for SSE), Windows&reg; 7 (32\/64-bit)\/Vista\/XP, Mouse, Keyboard, Internet Connection	 Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX&reg; 9 level Graphics Card, Windows&reg; 7 (32\/64-bit)\/Vista\/XP, Mouse, Keyboard, Internet Connection
Day of Defeat	30	Action	FPS, World War II, Multiplayer, Shooter, Action, War, Team-Based, Classic, First-Person, Class-Based, Military, Historical, Tactical, Singleplayer, Co-op, Violent, Old School, Retro, Difficult, Strategy	7102	90.3	0	5	104	NA	NA	NA	NA	NA	NA	NA	Valve	Valve	01-May-2003	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Deathmatch Classic	40	Action	Action, FPS, Classic, Multiplayer, Shooter, First-Person, Arena Shooter, Old School, Sci-fi, Competitive, Fast-Paced, Retro, Gore, 1990's, Co-op, Difficult, PvP, Singleplayer	3163	82.8	0	1	12	NA	NA	NA	NA	NA	NA	NA	Valve	Valve	01-Jun-2001	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Ricochet	60	Action	Action, FPS, Multiplayer, Classic, First-Person, Sci-fi, Shooter, Space, Cyberpunk, Psychological Horror, 3D, Retro, Memes, Platformer, Old School, Conspiracy, Cult Classic, Competitive, Sports, Great Soundtrack	6028	82.8	0	38	178	NA	NA	NA	NA	NA	NA	NA	Valve	Valve	01-Nov-2000	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
BloodRayne: Terminal Cut	1373510	Action	Action, Female Protagonist, Vampire, Hack and Slash, Third-Person Shooter, Gore, Horror, Action-Adventure, Mature, Dark, Supernatural, Violent, World War II, Sexual Content, Third Person, Combat, Singleplayer, Gothic, Adventure, Shooter	1477	89.9	0	7	10	13	10.87 ± 4.3	5	0	NA	NA	NA	Terminal Reality	Ziggurat	20-Nov-2020	NA	OS *: Windows 8.1 or higherProcessor: Intel 4th Generation Core i3, i5, i7Memory: 2 GB RAMGraphics: Intel HD Graphics 520 or higherStorage: 12 GB available spaceAdditional Notes: Optimized for XInput controllers (Xbox 360, Xbox One) 	OS: Windows 10Processor: Intel 8th, 9th, 10th, 11th Generation Core i3, i5, i7 or AMD Ryzen SeriesMemory: 8 GB RAMGraphics: Intel Iris, nVidia GeForce (2015 or above) or AMD Radeon (2015 or above) graphics card with 2GB of RAM or moreStorage: 12 GB available spaceAdditional Notes: Optimized for XInput controllers (Xbox 360, Xbox One)
BloodRayne 2: Terminal Cut	1373550	Action, Adventure, RPG	Action, Female Protagonist, Vampire, Character Action Game, Third-Person Shooter, Hack and Slash, Gore, Horror, Spectacle fighter, Blood, Sexual Content, Mature, Action-Adventure, Nudity, Platformer, Sequel, Third Person, Singleplayer, Violent, Adventure	991	79	0	9	10	14	7.88 ± 3.54	3.2	0	NA	NA	NA	Terminal Reality	Ziggurat	20-Nov-2020	NA	OS *: Windows 8.1 or higherProcessor: Intel 4th Generation Core i3, i5, i7Memory: 2 GB RAMGraphics: Intel HD Graphics 520 or higherStorage: 15 GB available spaceAdditional Notes: Optimized for XInput controllers (Xbox 360, Xbox One) 	OS: Windows 10Processor: Intel 8th, 9th, 10th, 11th Generation Core i3, i5, i7 or AMD Ryzen SeriesMemory: 8 GB RAMGraphics: Intel Iris, nVidia GeForce (2015 or above) or AMD Radeon (2015 or above) graphics card with 2GB of RAM or moreStorage: 15 GB available spaceAdditional Notes: Optimized for XInput controllers (Xbox 360, Xbox One)
Dark Messiah of Might & Magic Single Player	2100	Action, RPG	RPG, First-Person, Action, Fantasy, Swordplay, Dark Fantasy, Adventure, Magic, Classic, Singleplayer, Stealth, Multiple Endings, Medieval, Action RPG, Story Rich, Atmospheric, Gore, Immersive Sim, Hack and Slash, Multiplayer	10764	91.2	0	10	17	NA	NA	NA	NA	NA	NA	NA	Arkane Studios	Ubisoft	25-Oct-2006	NA	 AMD Athlon™, Pentium® 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection	 AMD Athlon™, Pentium® 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection
Dark Messiah of Might & Magic Multi-Player	2130	Action, RPG	RPG, First-Person, Action, Fantasy, Adventure, Dark Fantasy, Swordplay, Magic, Classic, Masterpiece, Stealth, Multiple Endings, Singleplayer, Story Rich, Medieval, Atmospheric, Action RPG, Gore, Hack and Slash, Multiplayer	5124	93.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arkane Studios	Ubisoft	25-Oct-2006	NA	 AMD Athlon™, Pentium® 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection	 AMD Athlon™, Pentium® 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection
Deus Ex: Game of the Year Edition	6910	Action	Cyberpunk, RPG, Stealth, Classic, Immersive Sim, FPS, Sci-fi, Cult Classic, Action, Singleplayer, Dystopian , Story Rich, Great Soundtrack, Inventory Management, First-Person, Atmospheric, Conspiracy, Moddable, Action RPG, Shooter	14552	94.8	0	23	39	NA	NA	NA	NA	NA	NA	NA	Ion Storm	Eidos Interactive Corp.	29-Mar-2007	NA	 300 MHz Pentium II or equlivalent, Windows 95\/98, 64 MB RAM, DirectX 7.0a compliant 3D accelerated video card 16MB VRAM, Direct X 7.0a compliant sound card, Direct X 7.0a or higher (included), 150MB uncompressed hard drive space, Keyboard and Mouse	NA
Thief: Deadly Shadows	6980	Action	Stealth, Atmospheric, Action, Steampunk, First-Person, Classic, Dark, Third Person, Story Rich, Immersive Sim, Horror, Singleplayer, Fantasy, Dark Fantasy, Adventure, Medieval, Immersive, Open World, FPS, RPG	2449	81.3	0	17	29	NA	NA	NA	NA	NA	NA	NA	Ion Storm	Eidos Interactive Corp.	29-Mar-2007	NA	 IBM PC or 100% compatible, Windows 2000 or Windows XP, Intel Pentium IV 1.5 GHz (or AMD Athlon XP equivalent), 256 MB system memory, 64 MB video memory, Direct3D 9.0, and Pixel Shader 1.1, 100% DirectSound 9 compatible sound card, 3,000 MB free hard disk space, Keyboard and mouse	 Intel Pentium IV 2.0 GHz (or AMD Athlon XP equivalent), 512 MB system memory, 128 MB video memory, Direct3D 9.0, and Pixel Shader 1.1 Thief: Deadly Shadows does not support play on laptop computers.
Project: Snowblind	7010	Action	Action, Shooter, FPS, First-Person, Sci-fi, Cyberpunk, Futuristic, Classic, Singleplayer	681	75.3	0	6	7	NA	NA	NA	NA	NA	NA	NA	Crystal Dynamics	Square Enix	29-Mar-2007	NA	 IBM PC or 100% compatible, Microsoft Windows 2000\/XP, Pentium IV, 1.5 GHz (Or AMD Athlon XP equivalent) processor, 100% DirectX 64 MB 3D Accelerated video card with Pixel Shader v1.1 Capability, 256 MB System RAM, 100% DirectX 9 Compatible Sound Card, 3GB free uncompressed hard drive space (additional space may be necessary for saved games), 100% Windows 2000\/XP compatible Mouse and Keyboard As stated on the Project: Snowblind box, laptops and integrated video chips may work with Project: Snowblind, but are not supported. Should you incur problems while running the game on an integrated video chip, Eidos Tech Support will not be able to help you.	 Pentium IV, 2.4 Ghz (or AMD Athlon XPequivalent) or greater processor, 512 MB System RAM, 100% DirectX 9 128MB 3D Graphics Card with Pixel Shader 2.0 support, 3GB of Hard Drive Space Supported Video Chipsets:nVidia GeForce 3Ti\/4Ti\/FX\/6000 series - Note: GeForce MX series is NOT SUPPORTED. ATI Radeon 8500\/9xxx or higher. 
